snapshot_date,counting_datetime,count_type,facility_id,location_id,ndc11,product_ndc,gtin14,rxcui_scd,drug_name,dosage_form_name,route_name,pharm_classes,lot_number,expiration_date,qty_on_hand,base_unit,qty_on_order,par_level,reorder_point,safety_stock,avg_daily_usage_30d,days_on_hand,abc_class,is_controlled,dea_schedule,is_high_alert,shortage_status,shortage_reason,unit_cost,extended_value,last_count_variance,is_stockout
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10000100030,10000-1000,00310000100030,1799706,Sodium Chloride 0.9%,"INJECTION, SOLUTION",INTRAVENOUS,Electrolyte,L895387,2028-07-02,105,EA,0,266,73,42,10.5,10.0,A,0,,0,Available,,1.85,194.25,1,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10037100130,10037-1001,00310037100137,721063,Acetaminophen 325 MG,TABLET,ORAL,Analgesic,L641532,2026-12-23,154,EA,0,228,62,35,8.93,17.25,C,0,,0,Available,,0.04,6.16,-2,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10074100230,10074-1002,00310074100234,328689,Ondansetron 4 MG/2ML,INJECTION,INTRAVENOUS,5-HT3 Antagonist,L524934,2028-12-10,90,EA,0,200,45,26,6.51,13.82,B,0,,0,Available,,1.4,126.0,0,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10111100330,10111-1003,00310111100331,793613,Pantoprazole 40 MG,"INJECTION, POWDER",INTRAVENOUS,Proton Pump Inhibitor,L159869,2028-11-23,61,EA,0,105,39,22,5.67,10.76,A,0,,0,Available,,3.2,195.2,1,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10148100430,10148-1004,00310148100438,516040,Heparin Sodium 5000 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Anticoagulant,L903988,2028-07-30,78,EA,0,122,36,21,5.25,14.86,B,0,,1,Available,,2.1,163.8,0,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10185100530,10185-1005,00310185100535,651033,Enoxaparin 40 MG/0.4ML,"INJECTION, SOLUTION",SUBCUTANEOUS,LMW Heparin,L215503,2027-06-27,77,EA,0,125,33,19,4.83,15.94,A,0,,1,Available,,8.75,673.75,0,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10222100630,10222-1006,00310222100632,1169034,Cefazolin 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,L485003,2027-09-23,65,EA,0,129,32,18,4.62,14.07,A,0,,0,Available,,4.6,299.0,0,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10259100730,10259-1007,00310259100739,1467420,Piperacillin-Tazobactam 3.375 G,"INJECTION, POWDER",INTRAVENOUS,Beta-Lactam Combination,L538472,2027-12-18,40,EA,0,105,29,16,4.2,9.52,A,0,,0,Available,,9.2,368.0,0,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10296100830,10296-1008,00310296100836,254955,Vancomycin 1 G,"INJECTION, POWDER",INTRAVENOUS,Glycopeptide,L334610,2026-10-24,60,EA,0,97,27,15,3.99,15.04,A,0,,1,Available,,7.4,444.0,0,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10333100930,10333-1009,00310333100933,332278,Ceftriaxone 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,L620283,2027-09-07,35,EA,0,79,25,14,3.68,9.52,A,0,,0,Available,,5.1,178.5,1,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10370101030,10370-1010,00310370101030,1517022,Furosemide 40 MG,TABLET,ORAL,Loop Diuretic,L585703,2027-04-10,43,EA,0,102,24,14,3.57,12.04,C,0,,0,Available,,0.06,2.58,-1,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10407101130,10407-1011,00310407101137,371466,Metoprolol Tartrate 5 MG/5ML,INJECTION,INTRAVENOUS,Beta Blocker,L891093,2027-03-20,52,EA,0,99,22,12,3.15,16.51,B,0,,0,Available,,2.95,153.4,2,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10444101230,10444-1012,00310444101234,1375608,Insulin Aspart 100 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Insulin,L987897,2027-12-13,50,EA,0,81,21,12,3.04,16.42,A,0,,1,Available,,26.4,1320.0,0,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10481101330,10481-1013,00310481101331,1533243,Levetiracetam 500 MG/5ML,"INJECTION, SOLUTION",INTRAVENOUS,Antiepileptic,L180184,2027-11-23,22,EA,0,51,19,10,2.73,8.06,A,0,,0,Available,,6.8,149.6,0,0
2026-08-11,2026-08-11 02:15:00,snapshot,330101,330101-PHARM-MAIN,10518101430,10518-1014,00310518101438,1889799,Methylprednisolone 125 MG,"INJECTION, POWDER",INTRAVENOUS,Corticosteroid,L852288,2027-11-02,28,EA,0,61,18,10,2.62,10.67,A,0,,0,Available,,11.3,316.4,-2,0
