snapshot_date,counting_datetime,count_type,facility_id,location_id,ndc11,product_ndc,gtin14,rxcui_scd,drug_name,dosage_form_name,route_name,pharm_classes,lot_number,expiration_date,qty_on_hand,base_unit,qty_on_order,par_level,reorder_point,safety_stock,avg_daily_usage_30d,days_on_hand,abc_class,is_controlled,dea_schedule,is_high_alert,shortage_status,shortage_reason,unit_cost,extended_value,last_count_variance,last_restocked_at,is_stockout
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10000100030,10000-1000,00310000100030,1799706,Sodium Chloride 0.9%,"INJECTION, SOLUTION",INTRAVENOUS,Electrolyte,L216559,2028-12-03,115,EA,0,310,73,42,10.5,10.95,A,0,,0,Available,,1.85,212.75,-2,2026-08-13,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10037100130,10037-1001,00310037100137,721063,Acetaminophen 325 MG,TABLET,ORAL,Analgesic,L917959,2027-04-02,176,EA,0,242,62,35,8.93,19.72,C,0,,0,Available,,0.04,7.04,0,2026-07-31,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10074100230,10074-1002,00310074100234,328689,Ondansetron 4 MG/2ML,INJECTION,INTRAVENOUS,5-HT3 Antagonist,L392524,2028-01-29,66,EA,0,188,45,26,6.51,10.14,B,0,,0,Available,,1.4,92.4,2,2026-08-01,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10111100330,10111-1003,00310111100331,793613,Pantoprazole 40 MG,"INJECTION, POWDER",INTRAVENOUS,Proton Pump Inhibitor,L728613,2028-05-30,111,EA,0,119,39,22,5.67,19.58,A,0,,0,Available,,3.2,355.2,-1,2026-08-12,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10148100430,10148-1004,00310148100438,516040,Heparin Sodium 5000 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Anticoagulant,L976734,2028-04-30,40,EA,0,94,36,21,5.25,7.62,B,0,,1,Available,,2.1,84.0,0,2026-07-30,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10185100530,10185-1005,00310185100535,651033,Enoxaparin 40 MG/0.4ML,"INJECTION, SOLUTION",SUBCUTANEOUS,LMW Heparin,L519103,2028-09-14,60,EA,0,140,33,19,4.83,12.42,A,0,,1,Available,,8.75,525.0,0,2026-07-27,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10222100630,10222-1006,00310222100632,1169034,Cefazolin 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,L313135,2027-05-10,33,EA,0,101,32,18,4.62,7.14,A,0,,0,Available,,4.6,151.8,-1,2026-07-26,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10259100730,10259-1007,00310259100739,1467420,Piperacillin-Tazobactam 3.375 G,"INJECTION, POWDER",INTRAVENOUS,Beta-Lactam Combination,L577722,2027-03-10,50,EA,0,103,29,16,4.2,11.9,A,0,,0,Available,,9.2,460.0,0,2026-08-02,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10296100830,10296-1008,00310296100836,254955,Vancomycin 1 G,"INJECTION, POWDER",INTRAVENOUS,Glycopeptide,L309292,2027-10-15,59,EA,0,92,27,15,3.99,14.79,A,0,,1,Available,,7.4,436.6,1,2026-07-24,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10333100930,10333-1009,00310333100933,332278,Ceftriaxone 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,L101631,2026-10-16,37,EA,0,73,25,14,3.68,10.07,A,0,,0,Available,,5.1,188.7,-1,2026-08-11,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10370101030,10370-1010,00310370101030,1517022,Furosemide 40 MG,TABLET,ORAL,Loop Diuretic,L348064,2027-01-14,46,EA,0,76,24,14,3.57,12.89,C,0,,0,Available,,0.06,2.76,-2,2026-07-29,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10407101130,10407-1011,00310407101137,371466,Metoprolol Tartrate 5 MG/5ML,INJECTION,INTRAVENOUS,Beta Blocker,L215085,2027-07-25,19,EA,36,57,22,12,3.15,6.03,B,0,,0,Available,,2.95,56.05,-2,2026-07-27,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10444101230,10444-1012,00310444101234,1375608,Insulin Aspart 100 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Insulin,L522105,2027-10-11,49,EA,0,96,21,12,3.04,16.09,A,0,,1,Available,,26.4,1293.6,-2,2026-07-31,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10481101330,10481-1013,00310481101331,1533243,Levetiracetam 500 MG/5ML,"INJECTION, SOLUTION",INTRAVENOUS,Antiepileptic,L538766,2029-01-16,22,EA,0,50,19,10,2.73,8.06,A,0,,0,Available,,6.8,149.6,2,2026-08-12,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10518101430,10518-1014,00310518101438,1889799,Methylprednisolone 125 MG,"INJECTION, POWDER",INTRAVENOUS,Corticosteroid,L421533,2026-10-27,33,EA,0,85,18,10,2.62,12.57,A,0,,0,Available,,11.3,372.9,2,2026-07-25,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10555101530,10555-1015,00310555101535,1841469,Famotidine 20 MG/2ML,INJECTION,INTRAVENOUS,H2 Antagonist,L147272,2026-10-29,50,EA,0,79,16,9,2.42,20.7,B,0,,0,Available,,1.95,97.5,0,2026-07-23,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10592101630,10592-1016,00310592101632,1774912,Albuterol 2.5 MG/3ML,INHALATION SOLUTION,RESPIRATORY,Beta2 Agonist,L471836,2027-09-07,33,EA,0,48,16,9,2.31,14.29,C,0,,0,Available,,0.55,18.15,-2,2026-07-31,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10629101730,10629-1017,00310629101739,1552729,Potassium Chloride 10 MEQ,"INJECTION, SOLUTION",INTRAVENOUS,Electrolyte,L861230,2028-04-06,30,EA,0,57,15,8,2.21,13.61,B,0,,1,Available,,3.4,102.0,0,2026-08-09,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10666101830,10666-1018,00310666101836,1178750,Atorvastatin 40 MG,TABLET,ORAL,Statin,L186240,2027-08-02,31,EA,0,57,14,8,2.1,14.76,C,0,,0,Available,,0.09,2.79,0,2026-07-29,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10703101930,10703-1019,00310703101933,930230,Lisinopril 10 MG,TABLET,ORAL,ACE Inhibitor,L869870,2028-02-07,25,EA,0,39,13,7,1.99,12.53,C,0,,0,Available,,0.05,1.25,-1,2026-08-02,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10740102030,10740-1020,00310740102030,1340561,Aspirin 81 MG,"TABLET, DELAYED RELEASE",ORAL,Antiplatelet,L194823,2027-08-08,40,EA,0,60,13,7,1.89,21.16,C,0,,0,Available,,0.02,0.8,2,2026-07-23,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10777102130,10777-1021,00310777102137,794629,Apixaban 5 MG,TABLET,ORAL,Direct Oral Anticoagulant,L665611,2026-09-26,30,EA,0,43,11,6,1.68,17.86,B,0,,1,Available,,7.9,237.0,-2,2026-07-29,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10814102230,10814-1022,00310814102234,1102306,Norepinephrine 4 MG/4ML,"INJECTION, SOLUTION",INTRAVENOUS,Vasopressor,L445940,2028-12-27,19,EA,0,30,11,6,1.58,12.06,A,0,,1,Available,,14.6,277.4,0,2026-08-11,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10851102330,10851-1023,00310851102331,357634,Propofol 10 MG/ML,"INJECTION, EMULSION",INTRAVENOUS,General Anesthetic,L909059,2026-12-09,25,EA,0,49,10,5,1.47,17.01,B,0,,1,Available,,9.8,245.0,2,2026-08-06,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10888102430,10888-1024,00310888102438,682813,Dexmedetomidine 200 MCG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Alpha2 Agonist,L583807,2027-01-25,8,EA,14,22,8,5,1.26,6.35,A,0,,1,Available,,22.5,180.0,2,2026-08-05,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10925102530,10925-1025,00310925102535,1344352,Fentanyl Citrate 100 MCG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,L797791,2028-08-04,27,EA,0,63,17,10,2.52,10.71,C,1,CII,1,Available,,1.3,35.1,0,2026-08-10,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10962102630,10962-1026,00310962102632,1439367,Hydromorphone 1 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,L158000,2028-07-08,31,EA,0,57,12,7,1.78,17.37,C,1,CII,1,Available,,2.6,80.6,1,2026-08-12,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,10999102730,10999-1027,00310999102739,296745,Morphine Sulfate 4 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Opioid Analgesic,L539316,2026-12-08,28,EA,0,42,11,6,1.68,16.67,C,1,CII,1,Available,,2.2,61.6,0,2026-08-03,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11036102830,11036-1028,00311036102836,551924,Oxycodone 5 MG,TABLET,ORAL,Opioid Analgesic,L728237,2028-06-28,20,EA,0,41,11,6,1.58,12.7,C,1,CII,1,Available,,0.18,3.6,0,2026-08-06,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11073102930,11073-1029,00311073102933,1776468,Hydrocodone-Acetaminophen 5-325 MG,TABLET,ORAL,Opioid Combination,L969754,2028-08-17,26,EA,0,31,9,5,1.37,19.05,C,1,CII,1,Available,,0.22,5.72,0,2026-07-29,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11110103030,11110-1030,00311110103030,595794,Methadone 10 MG,TABLET,ORAL,Opioid Analgesic,L218075,2027-04-04,7,EA,0,14,3,2,0.53,13.33,C,1,CII,1,Available,,0.3,2.1,1,2026-08-13,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11147103130,11147-1031,00311147103137,1805098,Ketamine 500 MG/10ML,"INJECTION, SOLUTION",INTRAVENOUS,General Anesthetic,L505726,2027-03-02,19,EA,0,21,5,2,0.73,25.85,B,1,CIII,1,Available,,8.4,159.6,1,2026-08-03,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11184103230,11184-1032,00311184103234,647859,Buprenorphine 0.3 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Partial Opioid Agonist,L857585,2026-12-20,8,EA,0,10,2,1,0.42,19.05,C,1,CIII,1,Available,,6.2,49.6,0,2026-08-08,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11221103330,11221-1033,00311221103331,389776,Midazolam 2 MG/2ML,"INJECTION, SOLUTION",INTRAVENOUS,Benzodiazepine,L984421,2027-05-19,23,EA,0,43,11,6,1.58,14.6,C,1,CIV,1,Available,,2.8,64.4,1,2026-08-05,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11258103430,11258-1034,00311258103438,553043,Lorazepam 2 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Benzodiazepine,L675356,2027-06-01,20,EA,0,32,10,5,1.47,13.61,C,1,CIV,1,Available,,3.1,62.0,2,2026-07-30,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11295103530,11295-1035,00311295103535,1282167,Diazepam 5 MG,TABLET,ORAL,Benzodiazepine,L296378,2027-05-25,12,EA,0,17,4,2,0.63,19.05,C,1,CIV,0,Available,,0.11,1.32,1,2026-07-23,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11332103630,11332-1036,00311332103632,1343983,Alprazolam 0.5 MG,TABLET,ORAL,Benzodiazepine,L461841,2027-03-04,8,EA,0,10,3,2,0.53,15.24,C,1,CIV,0,Available,,0.08,0.64,-1,2026-08-02,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11369103730,11369-1037,00311369103739,1167174,Phenobarbital 65 MG/ML,"INJECTION, SOLUTION",INTRAVENOUS,Barbiturate,L484273,2028-07-06,8,EA,0,10,2,1,0.4,20.0,C,1,CIV,0,Available,,4.9,39.2,0,2026-07-29,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11406103830,11406-1038,00311406103836,622063,Tramadol 50 MG,TABLET,ORAL,Opioid Analgesic,L611397,2028-08-11,17,EA,0,26,6,3,0.95,17.99,C,1,CIV,0,Available,,0.14,2.38,-2,2026-07-28,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-PHARM-MAIN,11443103930,11443-1039,00311443103933,1028946,Pregabalin 75 MG,CAPSULE,ORAL,Anticonvulsant,L449656,2027-05-07,15,EA,0,17,4,2,0.63,23.81,C,1,CV,0,Available,,0.35,5.25,0,2026-08-02,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10037100130,10037-1001,00310037100137,721063,Acetaminophen 325 MG,TABLET,ORAL,Analgesic,L527359,2028-09-11,37,EA,0,52,15,8,2.23,16.58,C,0,,0,Available,,0.04,1.48,-1,2026-07-31,0
2026-08-13,2026-08-13 02:15:00,snapshot,330101,330101-ADC-ED,10148100430,10148-1004,00310148100438,516040,Heparin Sodium 5000 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Anticoagulant,L650370,2027-12-01,26,EA,0,43,9,5,1.31,19.81,B,0,,1,Available,,2.1,54.6,2,2026-08-06,0
