rxcui_scd,rxcui_in,ndc11,product_ndc,gtin14,proprietary_name,non_proprietary_name,dosage_form_name,route_name,pharm_classes,dea_schedule,dea_drug_code,is_controlled,labeler_name,unit_cost,usage_weight,is_shortage_prone,is_high_alert,ndc_source,abc_class
1799706,341992,10000100030,10000-1000,00310000100030,Sodium,Sodium Chloride 0.9%,"INJECTION, SOLUTION",INTRAVENOUS,Electrolyte,,,0,Jones Ltd Pharmaceuticals,1.85,10.0,0,0,synthetic (NDC-shaped),A
721063,1139960,10037100130,10037-1001,00310037100137,Acetaminophen,Acetaminophen 325 MG,TABLET,ORAL,Analgesic,,,0,"Mccarthy, Hoover and Rosario Pharmaceuticals",0.04,8.5,0,0,synthetic (NDC-shaped),C
328689,1302788,10074100230,10074-1002,00310074100234,Ondansetron,Ondansetron 4 MG/2ML,INJECTION,INTRAVENOUS,5-HT3 Antagonist,,,0,Allen-Olson Pharmaceuticals,1.4,6.2,1,0,synthetic (NDC-shaped),B
793613,1405684,10111100330,10111-1003,00310111100331,Pantoprazole,Pantoprazole 40 MG,"INJECTION, POWDER",INTRAVENOUS,Proton Pump Inhibitor,,,0,"Gregory, Chapman and Thompson Pharmaceuticals",3.2,5.4,0,0,synthetic (NDC-shaped),A
516040,763632,10148100430,10148-1004,00310148100438,Heparin,Heparin Sodium 5000 UNT/ML,"INJECTION, SOLUTION",SUBCUTANEOUS,Anticoagulant,,,0,"Harris, Phillips and Fletcher Pharmaceuticals",2.1,5.0,0,1,synthetic (NDC-shaped),B
651033,1042433,10185100530,10185-1005,00310185100535,Enoxaparin,Enoxaparin 40 MG/0.4ML,"INJECTION, SOLUTION",SUBCUTANEOUS,LMW Heparin,,,0,Warner-White Pharmaceuticals,8.75,4.6,0,1,synthetic (NDC-shaped),A
1169034,1625789,10222100630,10222-1006,00310222100632,Cefazolin,Cefazolin 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,,,0,"Schmidt, Parks and Woods Pharmaceuticals",4.6,4.4,1,0,synthetic (NDC-shaped),A
1467420,1878923,10259100730,10259-1007,00310259100739,Piperacillin-Tazobactam,Piperacillin-Tazobactam 3.375 G,"INJECTION, POWDER",INTRAVENOUS,Beta-Lactam Combination,,,0,Peterson Group Pharmaceuticals,9.2,4.0,1,0,synthetic (NDC-shaped),A
254955,278884,10296100830,10296-1008,00310296100836,Vancomycin,Vancomycin 1 G,"INJECTION, POWDER",INTRAVENOUS,Glycopeptide,,,0,Wheeler-Schultz Pharmaceuticals,7.4,3.8,0,1,synthetic (NDC-shaped),A
332278,324652,10333100930,10333-1009,00310333100933,Ceftriaxone,Ceftriaxone 1 G,"INJECTION, POWDER",INTRAVENOUS,Cephalosporin,,,0,Martinez-Yoder Pharmaceuticals,5.1,3.5,1,0,synthetic (NDC-shaped),A
1517022,345226,10370101030,10370-1010,00310370101030,Furosemide,Furosemide 40 MG,TABLET,ORAL,Loop Diuretic,,,0,"Smith, Santiago and Riley Pharmaceuticals",0.06,3.4,0,0,synthetic (NDC-shaped),C
