icd10_code,icd10_description,icd_version,code_chapter,diagnosis_category,care_setting,hrrp_cohort,is_chronic,readmission_risk_level,relative_frequency
A41.9,"Sepsis, unspecified organism",10,A,SEPSIS,IP,OTHER,0,low,8.0
A41.51,Sepsis due to Escherichia coli [E. coli],10,A,SEPSIS,IP,OTHER,0,low,1.6
R65.20,Severe sepsis without septic shock,10,R,SEPSIS,IP,OTHER,0,low,1.2
R65.21,Severe sepsis with septic shock,10,R,SEPSIS,IP,OTHER,0,low,0.7
I50.9,"Heart failure, unspecified",10,I,HF,IP,HF,1,high,2.1
I50.23,Acute on chronic systolic (congestive) heart failure,10,I,HF,IP,HF,1,high,1.1
I50.33,Acute on chronic diastolic (congestive) heart failure,10,I,HF,IP,HF,1,high,0.9
J44.1,Chronic obstructive pulmonary disease with (acute) exacerbation,10,J,COPD,IP,COPD,1,high,2.0
J44.0,Chronic obstructive pulmonary disease with (acute) lower respiratory infection,10,J,COPD,IP,COPD,1,high,0.85
J18.9,"Pneumonia, unspecified organism",10,J,PN,IP,PN,0,high,2.7
J15.9,Unspecified bacterial pneumonia,10,J,PN,IP,PN,0,high,0.8
I21.4,Non-ST elevation (NSTEMI) myocardial infarction,10,I,AMI,IP,AMI,0,high,1.4
I21.3,ST elevation (STEMI) myocardial infarction of unspecified site,10,I,AMI,IP,AMI,0,high,0.65
I21.A1,Myocardial infarction type 2,10,I,AMI,IP,AMI,0,high,0.35
E11.65,Type 2 diabetes mellitus with hyperglycemia,10,E,DIABETES,BOTH,OTHER,1,medium,2.4
E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease,10,E,RENAL,IP,OTHER,1,medium,0.9
N17.9,"Acute kidney failure, unspecified",10,N,RENAL,IP,OTHER,0,low,1.7
N18.6,End stage renal disease,10,N,RENAL,IP,OTHER,1,medium,0.8
I63.9,"Cerebral infarction, unspecified",10,I,STROKE,IP,OTHER,0,low,1.5
N39.0,"Urinary tract infection, site not specified",10,N,UTI,BOTH,OTHER,0,low,1.9
I48.91,Unspecified atrial fibrillation,10,I,ARRHYTHMIA,BOTH,OTHER,1,medium,1.8
J96.01,Acute respiratory failure with hypoxia,10,J,RESP_FAILURE,IP,OTHER,0,low,1.3
K92.2,"Gastrointestinal hemorrhage, unspecified",10,K,GI_BLEED,IP,OTHER,0,low,1.1
A04.72,"Enterocolitis due to Clostridium difficile, not specified as recurrent",10,A,GI_INFECTION,IP,OTHER,0,low,0.55
E86.0,Dehydration,10,E,FLUID_ELECTROLYTE,BOTH,OTHER,0,low,1.6
I10,Essential (primary) hypertension,10,I,HYPERTENSION,BOTH,OTHER,1,medium,2.2
R07.9,"Chest pain, unspecified",10,R,CHEST_PAIN,ED,OTHER,0,low,6.5
R10.9,Unspecified abdominal pain,10,R,OTHER_MEDICAL,ED,OTHER,0,low,5.8
